Species,Island,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo)
Gentoo penguin (Pygoscelis papua),Biscoe,long,medium,longest,heavier,MALE,class2,class1
Gentoo penguin (Pygoscelis papua),Biscoe,medium,shorter,long,medium,FEMALE,class2,class1
Gentoo penguin (Pygoscelis papua),Biscoe,long,short,longest,heaviest,MALE,class2,class1
Gentoo penguin (Pygoscelis papua),Biscoe,short,shortest,longer,medium,FEMALE,class2,class1
Gentoo penguin (Pygoscelis papua),Biscoe,long,shorter,longest,heavier,MALE,class2,class1
Gentoo penguin (Pygoscelis papua),Biscoe,medium,shorter,longer,medium,FEMALE,class2,class1
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,longer,heavy,MALE,class2,class1
Gentoo penguin (Pygoscelis papua),Biscoe,long,short,longer,heavy,MALE,class2,class1
Gentoo penguin (Pygoscelis papua),Biscoe,medium,shorter,longer,heavy,FEMALE,class2,class1
Gentoo penguin (Pygoscelis papua),Biscoe,medium,shorter,longer,medium,FEMALE,class2,class1
Gentoo penguin (Pygoscelis papua),Biscoe,long,short,longest,heaviest,MALE,class2,class1
Gentoo penguin (Pygoscelis papua),Biscoe,medium,shortest,long,medium,FEMALE,class2,class1
Gentoo penguin (Pygoscelis papua),Biscoe,long,short,longer,heaviest,MALE,class2,class1
Gentoo penguin (Pygoscelis papua),Biscoe,medium,shortest,longer,medium,FEMALE,class2,class1
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,longest,heaviest,MALE,class1,class1
Gentoo penguin (Pygoscelis papua),Biscoe,long,shorter,long,medium,FEMALE,class2,class1
Gentoo penguin (Pygoscelis papua),Biscoe,longer,short,longer,heavier,MALE,class2,class1
Gentoo penguin (Pygoscelis papua),Biscoe,medium,shorter,long,medium,FEMALE,class1,class1
Gentoo penguin (Pygoscelis papua),Biscoe,long,short,longest,heavier,MALE,class1,class1
Gentoo penguin (Pygoscelis papua),Biscoe,medium,shortest,long,medium,FEMALE,class1,class2
Gentoo penguin (Pygoscelis papua),Biscoe,long,medium,longest,heavier,MALE,class2,class1
Gentoo penguin (Pygoscelis papua),Biscoe,short,shorter,longer,medium,FEMALE,class2,class2
Gentoo penguin (Pygoscelis papua),Biscoe,long,shortest,longer,heavier,MALE,class1,class1
Gentoo penguin (Pygoscelis papua),Biscoe,medium,shortest,long,heavy,FEMALE,class1,class1
Gentoo penguin (Pygoscelis papua),Biscoe,longer,medium,longest,heavier,MALE,class2,class2
Gentoo penguin (Pygoscelis papua),Biscoe,medium,shorter,longer,heavy,FEMALE,class2,class2
Gentoo penguin (Pygoscelis papua),Biscoe,longer,medium,longest,heavier,MALE,class2,class2
Gentoo penguin (Pygoscelis papua),Biscoe,medium,shorter,long,medium,FEMALE,class1,class1
Gentoo penguin (Pygoscelis papua),Biscoe,long,short,longest,heavier,MALE,class3,class2
Gentoo penguin (Pygoscelis papua),Biscoe,medium,shorter,long,heavy,FEMALE,class1,class2
Gentoo penguin (Pygoscelis papua),Biscoe,long,short,longest,heavy,MALE,class2,class2
Gentoo penguin (Pygoscelis papua),Biscoe,long,short,longer,heavy,MALE,class1,class2
Gentoo penguin (Pygoscelis papua),Biscoe,medium,shorter,longer,heavy,FEMALE,class1,class2
Gentoo penguin (Pygoscelis papua),Biscoe,long,shorter,medium,medium,FEMALE,class1,class2
Gentoo penguin (Pygoscelis papua),Biscoe,long,short,longest,heavy,MALE,class1,class1
Gentoo penguin (Pygoscelis papua),Biscoe,long,shorter,longer,heavy,FEMALE,class1,class2
Gentoo penguin (Pygoscelis papua),Biscoe,longest,medium,longest,heavier,MALE,class2,class1
Gentoo penguin (Pygoscelis papua),Biscoe,medium,shorter,longer,heavy,FEMALE,class2,class1
Gentoo penguin (Pygoscelis papua),Biscoe,long,shorter,longest,heavier,MALE,class2,class2
Gentoo penguin (Pygoscelis papua),Biscoe,medium,shortest,longer,medium,FEMALE,class2,class1
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,longer,heavier,MALE,class2,class2
Gentoo penguin (Pygoscelis papua),Biscoe,short,shorter,long,medium,FEMALE,class1,class1
Gentoo penguin (Pygoscelis papua),Biscoe,longer,short,longer,heavier,MALE,class2,class1
Gentoo penguin (Pygoscelis papua),Biscoe,short,shortest,long,medium,FEMALE,class2,class1
Gentoo penguin (Pygoscelis papua),Biscoe,long,shorter,long,heavier,MALE,class2,class1
Gentoo penguin (Pygoscelis papua),Biscoe,long,shorter,longer,heavy,FEMALE,class2,class2
Gentoo penguin (Pygoscelis papua),Biscoe,long,short,longest,heaviest,MALE,class2,class2
Gentoo penguin (Pygoscelis papua),Biscoe,short,shorter,long,medium,FEMALE,class1,class2
Gentoo penguin (Pygoscelis papua),Biscoe,long,short,longest,heavier,MALE,class2,class2
Gentoo penguin (Pygoscelis papua),Biscoe,medium,shortest,longer,medium,FEMALE,class2,class2
Gentoo penguin (Pygoscelis papua),Biscoe,longer,short,longest,heaviest,MALE,class1,class2
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,longer,heavy,FEMALE,class1,class2
Gentoo penguin (Pygoscelis papua),Biscoe,long,short,longer,heaviest,MALE,class2,class2
Gentoo penguin (Pygoscelis papua),Biscoe,medium,shortest,long,heavy,FEMALE,class1,class2
Gentoo penguin (Pygoscelis papua),Biscoe,medium,shorter,longer,heavy,FEMALE,class2,class2
Gentoo penguin (Pygoscelis papua),Biscoe,long,short,longer,heavier,MALE,class2,class2
Gentoo penguin (Pygoscelis papua),Biscoe,medium,shorter,long,heavy,FEMALE,class2,class2
Gentoo penguin (Pygoscelis papua),Biscoe,long,short,long,heavier,MALE,class2,class2
